title,content,date
In a sea of generic Christmas movies Klaus stands out,Klaus is an amusing new twist on a very old story. It's a heart-warming tale with an uplifting message about kindness featuring beautifully unique animation interesting characters and a clever plot. In the sea of generic Christmas movies that get churned out each holiday season Klaus stands out because it tried something different and it succeeded.,22 December 2019
Wow we finally have a new Christmas classic,"Okay when it comes to Christmas movies to me there was only one: It's a wonderful life by Frank Capra. The Bishop's Wife and Love Actually are also very good but they don't have the same magic. This year I can finally add a new classic: Klaus. It's a funny and surprising tale of how the real Santa Claus was born. I love the story and especially the look of this movie is amazing. Klaus is hand drawn animation but thanks to computers it has astonishing lit scenes. That makes the journey extra special.The story is about this lazy and clumpsy guy Jesper who is the only son of the director of a Mail School. His father wants to teach him a lesson and sends him to this little snowy place called Smeerensburg. Only if he succeeds in delivering 6000 letters in a year he's allowed to come back and continue his luxery life. Of course Jesper obeys: he doesn't have a choice. But when he arrives at Smeerensburg he discovers that his mission is an almost imposible one. Two rival families are at constant war with each other and will never send each other letters. But when Jesper visits his last hope this hermit called Klaus something magical happens. By accident this mourning figure receives a letter from a child and wants to return this nice gesture by giving the boy a present. Suddenly all the childeren of the village want to send letters...Why does Santa always say ""Ho! Ho! Ho!?"". How did he get his reindeers? Does he really have a naughty book? Why does he travel on a sleigh? All those questions will be answered in this great tale of one man Jesper changing the fate of a town that once only knew anger and never friendship. The end of Klaus is actually quite moving.Forget The Polar Express or all the Christmas Carols. Klaus is the real deal! Go see it on Netflix!9/10",14 November 2019
"Never thought I'd give a ""sappy"" cartoon a 10 but what a surprise",Sure sappiness is cute and fun to indulge in. I thought I'd seen it all. But what sappiness was in the movie well used. The main thrust was not sappy. It was a well told story with the proper nuances in the animation and the vocalization. I consider this movie to be for adults. You will thoroughly enjoy it.,16 November 2019
My Christmas watchlist just got a little longer,Everything about this droll take on the Santa myth is inspired. JK SImmons as the title character the animation style the way in which the various elements of the mythos come together organically and so forth all just fit. Even the final moment of magical realism is just right. It all adds up to a heart warming tale of Christmas.I will be watching this each year for awhile.,9 December 2019
Claus.,Whilst I was vaguely aware of the title from seeing it mentioned at the Oscar's I became aware of Klaus from seeing a large number of fellow reviewers highly praising the film this yearwhich led to me meeting Klaus.View on the film:Revealing later that he had wanted to do a traditionally animated feature film but he wanted to see how the animation would have evolved without the switch to computer-generated animation the 20 years spent working in various other animation departments leads to co-writer/ (with Jim Mahoney & Zach Lewis) and co-director (with Carlos Martinez Lopez )Sergio Pablos make a chart-topping Christmas number one directing debut.Developing the project for over a decade Pablos and Lopez ultra-stylised use of volumetric lighting and texturing (first time to be used in hand-drawn animation) gives the animation a dazzling depth of field appearance with the detailed expressive hand-drawn character animation seamlessly blending in with the thick texturing given to the background and buildings drawing a pop-up book elegance.Later revealed by Sergio Pablos that he had improvised 40% of the dialogueJason Schwartzman gives a fantastic turn as Jesperthanks to Schwartzman voicing his distinctive kookiness with a growing can-do confidencewhilst J.K. Simmons brings a merry towering warmth in his merry performance of Klaus.Simply having a wonderful Christmas time in a miserable town the writers gloriously take the characteristics of Santa (such as flying reindeer)and turn them inside out with hilarious sight gags that soar with excellent drama from Jesper bonding with the localsand Klaus coming out from the wilderness to discover the true meaning of Christmas.,28 December 2020
I am not crying you are crying.,I haven't felt this good after watching a movie. I feel good about myself. I am not kidding I actually cried during and after the credit rolled. Thank you Netflix.,25 November 2019
Haven't cried after watching an animated movie in so long.,One of the sweetest emotional and best Animated film of the year. Netflix please keep bringing us movies with great script such as this.,17 November 2019
Watch and learn Disney,Very solid original story awesome visual style and great writing. All it takes. On the contrary reinventing 30 year old cartoons and doubling down on puritan stuff does not help.This film deserves broader recognition - best Christmas catroon in a long long time,17 November 2019
Anti-Postmodern Santa Claus,"If postmodernism is defined as a rejection of morality and human nature then this animated story is a repudiation of that rejection but done in a refreshingly adult and not too overly sentimental way.Thankfully there are none of the usual Hollywood tropes; rather the characters and situation are very grounded despite having elements of the fantastical and surrealism mixed in. It is not even Disney-esque which is also a very good good thing.That this ""Santa Claus"" is not the only main character is moreover a good choice by the writers. By doing so the story is able to focus on how a mythical character could conceivably come to be - and that makes for a very interesting and entertaining premise.Everything about this animated story is well done: The animation is crisp and detailed; the dialogues are convincing and at times humorous; the music fits is modern and used judiciously.Young children will not probably understand the deeper meanings but everyone else will.",17 November 2019
KLAUS: The Netflix Classic for Christmas.,I typically wouldn't mention a movie as a classic except for the two first films of Shrek. But Klaus it's amazing.Allow me to explain myself.There are so many reasons why Klaus remains as a classic.FIRST of all and the most visible one:THE ANIMATION. I'm not an animator but I love animation so I can tell when something is beautifully animated. Klaus isn't animated by computer is hand-drawn animation which involves so much more work and it's worthy at the end because the result is so delightful. The colors the details the characters the locations and every particular aspect are properly drawn so you feel so good watching it.SECOND: You need more than looks to produce a classic and this film has a pretty good STORY. The plot is simple a post man is sent to the unhappiest place in the world to deliver 6000 letters but in this place nobody delivers letters. Simple the way that this plot seeks his way to include the origin story of Santa Claus it's amazing. Every twist is graceful and the ending is satisfactory.THIRD: animation and story are reached because of THE CHARACTERS: Every single and unique character has their own storyline developed satisfactorily.From beginning to end the film is perfection for the Christmas holiday.,23 November 2019
